Unnamed: 0,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating,snippet
8455,1,82.32714521,-0.4037742144,0.578531118,0.2382176122,82.32714521,-0.05149107426,-0.6531791091,-0.4861837626,sien,4b,1,0,easy,random_snippet
8456,1,82.52840621,-0.2767770758,-0.4266385818,0.1480465302,82.52840621,-0.0004958091304,-0.9936875701,-0.6605306268,sien,4b,1,0,easy,random_snippet
8457,1,82.72966721,1.531865543,0.6292715013,0.7316927925,82.72966721,-0.0532973595,-0.4582899213,-0.3629247546,sien,4b,1,0,easy,random_snippet
8458,1,82.93092821,-0.1644193187,-0.5112530547,1.040004487,82.93092821,-0.1046097875,0.08802494407,-0.1483016312,sien,4b,1,0,easy,random_snippet
8459,1,83.13218925,0.3240064985,0.09552362323,0.3306191146,83.13218925,-0.3099987507,0.3087351024,-0.3514013886,sien,4b,1,0,easy,random_snippet
8460,1,83.33344925,-0.08598579124,-0.2283185685,-0.4690447824,83.33344925,-0.715734601,-0.4755162299,-0.4189739823,sien,4b,1,0,easy,random_snippet
8461,1,83.53471025,0.04125561476,-0.06486667156,-0.5377339615,83.53471025,-0.5425908566,-0.7105395794,-0.505295217,sien,4b,1,0,easy,random_snippet
8462,1,83.73597125,-0.02815609753,-0.2135824156,-0.3488098756,83.73597125,-0.05819986016,-0.4295779467,-0.4768168926,sien,4b,1,0,easy,random_snippet
8463,1,83.93723225,0.2932653469,0.3593453157,-0.3507500549,83.93723225,-0.05023404211,-0.2170921564,-0.5389297605,sien,4b,1,0,easy,random_snippet
8464,1,84.13849283,-0.2527137369,-0.7180415905,-0.5818939979,84.13849283,-0.0357497111,0.2052627802,-0.2413289994,sien,4b,1,0,easy,random_snippet
8465,1,84.33975383,1.004145852,-0.2850377297,0.1768740343,84.33975383,0.007569445297,0.3616753519,0.09312523156,sien,4b,1,0,easy,random_snippet
8466,1,84.54101383,0.3874636987,-0.3881463611,-0.2242630128,84.54101383,0.06827556342,0.3096179664,0.2977025509,sien,4b,1,0,easy,random_snippet
8467,1,84.74227483,0.2631466314,0.674825989,-0.5689773524,84.74227483,0.3225811422,0.7073382139,0.07626070082,sien,4b,1,0,easy,random_snippet
8468,1,84.94353683,0.2709769303,0.5496850491,-0.2102775693,84.94353683,0.3493486941,0.9858843684,0.3894152641,sien,4b,1,0,easy,random_snippet
8469,1,85.14479808,0.2767405307,0.5265827,-0.09360222816,85.14479808,0.215800643,0.8015679717,0.4054143727,sien,4b,1,0,easy,random_snippet
8470,1,85.34605908,0.3286920185,-1.466706219,0.8400095388,85.34605908,0.3991321027,0.2174826562,0.2097513527,sien,4b,1,0,easy,random_snippet
8471,1,85.54732008,-0.0338667807,-0.3503616536,0.2035357296,85.54732008,0.3005309999,0.03665843606,-0.1104124635,sien,4b,1,0,easy,random_snippet
8472,1,85.74858108,-0.39855689,-0.1313068289,0.5110437244,85.74858108,0.0009765191935,-0.07394514978,0.09485212713,sien,4b,1,0,easy,random_snippet
8473,1,85.94984208,-0.05347468749,0.6120765942,0.07806909978,85.94984208,-0.3337778449,-0.2743493915,-0.0362842977,sien,4b,1,0,easy,random_snippet
8474,1,86.15110333,-0.3478632845,0.3538185275,-0.2953209355,86.15110333,-0.4131690264,-0.3717094064,-0.125407815,sien,4b,1,0,easy,random_snippet
8475,1,86.35236433,-0.09920561492,-0.1729349113,-0.4886743239,86.35236433,-0.4938139319,-0.2655951679,-0.06135911867,sien,4b,1,0,easy,random_snippet
