,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating,outdoor
135,35,27.18872329,-0.4665820813,0.9612746519,-1.051374398,27.18872329,0.1359517723,-0.5518871546,-0.007909264416,sien,5b+,2,1,medium,0
136,35,27.39002929,2.535010645,-0.7956581157,0.08141429186,27.39002929,-0.08013941348,-0.1483467221,-0.001290883403,sien,5b+,2,1,medium,0
137,35,27.59133454,-0.4464945567,-0.07765570164,0.05056438208,27.59133454,0.1512868851,0.4695945978,-0.3484272361,sien,5b+,2,1,medium,0
138,35,27.79263954,-2.297220756,0.9615114641,-0.9492136002,27.79263954,0.439189136,-0.4040639699,-0.838817358,sien,5b+,2,1,medium,0
139,35,27.99394554,1.622077264,0.01031624258,0.5178402355,27.99394554,0.5018200278,-0.7925020456,-0.2587899566,sien,5b+,2,1,medium,0
140,35,28.19525054,3.687833065,1.937528408,2.008923496,28.19525054,-0.2260939181,0.9066252112,0.04493014514,sien,5b+,2,1,medium,0
141,35,28.39655554,-2.397204636,-0.06797739029,-1.153376444,28.39655554,-0.2786726654,0.8311631083,0.5492609143,sien,5b+,2,1,medium,0
142,35,28.59786275,-1.729864837,0.1441701186,-0.6784196877,28.59786275,-0.2412406951,0.8152800798,0.1249765381,sien,5b+,2,1,medium,0
143,35,28.79916775,-0.1441625172,-0.1995987993,-0.06045962512,28.79916775,-0.01723219641,0.7612012625,0.08856084943,sien,5b+,2,1,medium,0
144,35,29.00047275,-2.378759009,-0.2057950938,-0.2708371818,29.00047275,-0.2520949244,0.7703191638,0.07101213932,sien,5b+,2,1,medium,0
145,35,29.20177875,-0.6144771686,-0.7096543443,0.2461964303,29.20177875,0.2537607253,-0.09290198982,0.1475184709,sien,5b+,2,1,medium,0
146,35,29.40308375,-0.4369364056,0.2185028476,-0.2648946565,29.40308375,0.3256328404,-0.3190698326,-0.004502648488,sien,5b+,2,1,medium,0
147,35,29.60438975,-0.04410203934,0.4159744298,-0.03029559374,29.60438975,0.03434316441,-0.4051113427,0.05199857801,sien,5b+,2,1,medium,0
148,35,29.80569575,0.2848707917,-0.08280534446,-0.4425892013,29.80569575,-0.1484749317,-0.06166453287,-0.01460044738,sien,5b+,2,1,medium,0
149,35,30.00700075,-0.3903300038,-1.038918659,-0.3352121025,30.00700075,0.07541038841,-0.0002586217597,0.01355173625,sien,5b+,2,1,medium,0
150,35,30.20830675,0.2170135617,-0.2483441126,-0.2305486965,30.20830675,-0.01710676774,0.0001909835264,0.004076771438,sien,5b+,2,1,medium,0
151,35,30.40961275,-0.42784457,-0.9554058015,-0.07354043126,30.40961275,0.1484497488,-0.1867959201,-0.0576691702,sien,5b+,2,1,medium,0
152,35,30.61091829,-0.1843688491,0.2457333308,-0.1680805528,30.61091829,0.2978646159,-0.1781935096,-0.03426874429,sien,5b+,2,1,medium,0
153,35,30.81222429,0.4894625285,0.02273689806,-0.02986231506,30.81222429,0.2755265832,-0.06285640597,-0.1009201407,sien,5b+,2,1,medium,0
154,35,31.01353129,0.05301056474,0.060696145,0.4516050231,31.01353129,0.03240989149,-0.04691725969,-0.08267079294,sien,5b+,2,1,medium,0
155,35,31.21483729,0.3941763023,0.2269272235,-0.2208651227,31.21483729,0.07845002413,-0.1714713275,-0.1414747238,sien,5b+,2,1,medium,0
156,35,31.41614329,-0.03729120255,-0.1654203621,-0.05869318128,31.41614329,0.1512379944,-0.11417339,-0.07152473927,sien,5b+,2,1,medium,0
157,35,31.61745037,0.1142861688,-0.07322175801,0.3048691463,31.61745037,-0.08587837219,0.1576295495,-0.04795603454,sien,5b+,2,1,medium,0
158,35,31.81875637,-0.1123296905,0.01922447562,-0.1648821259,31.81875637,-0.2096102089,0.2042046338,-0.01750544831,sien,5b+,2,1,medium,0
159,35,32.02006337,0.146457257,-0.223268913,-0.03785019636,32.02006337,-0.05094338208,0.1155982763,-0.001624947879,sien,5b+,2,1,medium,0
160,35,32.22136937,0.233613807,0.4700167358,-0.0461807245,32.22136937,-0.3974889219,0.1019274816,0.02496767044,sien,5b+,2,1,medium,0
161,35,32.42267637,-0.05519654632,-0.5007011694,-0.1280908602,32.42267637,-0.5179757476,-0.01918342896,0.06106929109,sien,5b+,2,1,medium,0
162,35,32.62398188,0.152808795,-0.1241697174,-0.4920297486,32.62398188,-0.3817268014,-0.329185307,0.1973432302,sien,5b+,2,1,medium,0
163,35,32.82528887,-0.02821106136,0.6257128859,-0.4125894767,32.82528887,-0.257419765,-0.1975277513,0.02218816429,sien,5b+,2,1,medium,0
164,35,33.02659488,0.02645426542,0.2509718513,-1.135426369,33.02659488,-0.03764704242,-0.3455014229,-0.07204627246,sien,5b+,2,1,medium,0
165,35,33.22790187,-0.039209674,0.00629452765,-0.2887746853,33.22790187,0.1417067945,-0.08310151845,-0.0454598926,sien,5b+,2,1,medium,0
166,35,33.42920788,0.5110168272,0.3898753828,0.1836125118,33.42920788,0.1872837245,-0.004599899054,-0.1336684972,sien,5b+,2,1,medium,0
167,35,33.63051475,-0.02701764464,0.4108160162,-0.207903015,33.63051475,-0.053321518,0.1030102298,-0.03509102017,sien,5b+,2,1,medium,0
168,35,33.83182075,0.08756907105,-0.9469384485,-0.1660521537,33.83182075,0.4194010794,0.1653205454,-0.1355600059,sien,5b+,2,1,medium,0
169,35,34.03312775,-0.6511909586,0.2626961035,0.3215728873,34.03312775,0.3049168587,-0.2115255445,-0.01994178258,sien,5b+,2,1,medium,0
170,35,34.23443475,0.429960385,0.3240836817,-0.1104913259,34.23443475,-0.736282289,0.3602910936,0.1509876549,sien,5b+,2,1,medium,0
171,35,34.43574075,-0.4826467216,-0.9582557344,-0.3368171632,34.43574075,-0.5029184818,0.1484440118,0.1517517418,sien,5b+,2,1,medium,0
172,35,34.63704812,-0.1132596901,-0.07530804455,-0.8123697504,34.63704812,-0.5093067288,-0.1070398763,0.2077240944,sien,5b+,2,1,medium,0
173,35,34.83835513,-0.2084967998,0.2827087837,-0.8539115864,34.83835513,-0.7013713121,-0.05546051636,0.2466621548,sien,5b+,2,1,medium,0
174,35,35.03966212,-0.2310626668,-0.574003619,0.01123513252,35.03966212,-0.4479351044,-0.01673795655,0.1015735567,sien,5b+,2,1,medium,0
175,35,35.24096912,-0.5584582114,-0.08243112266,-0.165492429,35.24096912,-0.4324491322,0.2514343262,0.1167041957,sien,5b+,2,1,medium,0
176,35,35.44227613,-0.4930553502,0.02858820677,-0.1779717028,35.44227613,-0.2331170142,0.2909047604,0.0251161959,sien,5b+,2,1,medium,0
177,35,35.64358225,-0.3873216113,-0.09224450469,0.3038645947,35.64358225,-0.1316617578,0.2313090563,-0.03912644088,sien,5b+,2,1,medium,0
