,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating
101,15,1970-01-01 00:00:20.533051130,1.281192777,0.5408709562,-0.1483333361,20.53305113,0.007890619338,0.3879416585,0.3577442169,sien,4c,1,0,easy
102,15,1970-01-01 00:00:20.734348120,0.3168386891,-0.6645939463,-2.080198424,20.73434812,0.6577843428,0.3704207838,0.2621841729,sien,4c,1,0,easy
103,15,1970-01-01 00:00:20.935645120,-1.741151717,0.7718283731,0.5811432154,20.93564512,0.3158442676,-0.5764415264,0.03345350176,sien,4c,1,0,easy
104,15,1970-01-01 00:00:21.136941380,3.383355682,1.676199092,-0.8109751895,21.13694138,-0.6993181109,0.09385322034,0.3022889495,sien,4c,1,0,easy
105,15,1970-01-01 00:00:21.338238370,1.227284957,-0.6082384819,-0.04988018475,21.33823837,-0.5607697368,0.8402614594,0.01807076111,sien,4c,1,0,easy
106,15,1970-01-01 00:00:21.539535370,-0.9599549353,-0.5272837812,-0.8320402224,21.53953537,-0.1759695411,1.144201636,-0.1016673371,sien,4c,1,0,easy
107,15,1970-01-01 00:00:21.740833370,0.1921842375,0.3589494592,-0.4555194417,21.74083337,-0.3673894107,0.2070094794,-0.3345536292,sien,4c,1,0,easy
108,15,1970-01-01 00:00:21.942130380,-0.27987113,0.7377531391,-0.6265504995,21.94213038,-0.4391092062,-0.3022721112,-0.3487549126,sien,4c,1,0,easy
109,15,1970-01-01 00:00:22.143428330,-0.1890410668,-0.272107197,-0.09224099636,22.14342833,-0.9295677543,-0.6677989364,-0.3222995698,sien,4c,1,0,easy
110,15,1970-01-01 00:00:22.344726330,-0.2811654112,-0.1374458206,-0.1934177077,22.34472633,-0.5709723234,-1.04931736,-0.5312600732,sien,4c,1,0,easy
111,15,1970-01-01 00:00:22.546024330,-0.05100146145,0.1744738984,-0.5140772599,22.54602433,-0.0676330775,-0.6987218261,-0.532738924,sien,4c,1,0,easy
112,15,1970-01-01 00:00:22.747321330,-0.578097547,1.668638642,1.956278383,22.74732133,-0.50993222,-0.2370296121,-0.3720424771,sien,4c,1,0,easy
113,15,1970-01-01 00:00:22.948619330,0.888700473,0.3779839003,1.050437674,22.94861933,-0.6005185246,-0.3221866488,-0.2566437721,sien,4c,1,0,easy
114,15,1970-01-01 00:00:23.149917580,0.4027401343,0.4463606554,0.4365519512,23.14991758,-0.171230197,-0.4066941738,-0.2662317455,sien,4c,1,0,easy
115,15,1970-01-01 00:00:23.351215580,0.6794297943,-0.4527651107,-0.9231332642,23.35121558,0.403057605,-0.08397977054,-0.3484658897,sien,4c,1,0,easy
116,15,1970-01-01 00:00:23.552512580,0.740510686,-0.5125043589,-1.266168941,23.55251258,0.8817296624,0.1207860112,-0.3184374869,sien,4c,1,0,easy
117,15,1970-01-01 00:00:23.753810580,0.9273081762,0.2030469024,-1.250533779,23.75381058,0.8718320727,0.01484269276,-0.1971571594,sien,4c,1,0,easy
118,15,1970-01-01 00:00:23.955108580,0.008938784748,0.2840121281,-0.2358445928,23.95510858,0.626093328,0.1857444942,-0.4489774108,sien,4c,1,0,easy
119,15,1970-01-01 00:00:24.156405000,-0.125552657,-0.38665766,0.02595235504,24.156405,0.6586444378,0.215664655,-0.3586405814,sien,4c,1,0,easy
120,15,1970-01-01 00:00:24.357702000,-0.1561797148,0.2182461548,0.6204807973,24.357702,0.5173703432,-0.1218667477,-0.3792871237,sien,4c,1,0,easy
121,15,1970-01-01 00:00:24.559000000,0.5946163698,-0.3052796209,0.2564737889,24.559,0.6091529131,0.1479439735,-0.4549216628,sien,4c,1,0,easy
122,15,1970-01-01 00:00:24.760297000,-0.5397784039,0.5007847846,-0.525275555,24.760297,0.07911130041,0.01317770407,-0.1047236025,sien,4c,1,0,easy
123,15,1970-01-01 00:00:24.961594000,0.2842312525,-0.7111278427,0.03370510519,24.961594,0.1508655846,-0.1671499014,-0.3306548595,sien,4c,1,0,easy
124,15,1970-01-01 00:00:25.162893210,-0.04812375426,-0.5460463268,0.282999098,25.16289321,0.1136879548,0.09566973895,-0.2689016163,sien,4c,1,0,easy
125,15,1970-01-01 00:00:25.364190210,1.0307539,-0.2310802084,-0.06321541786,25.36419021,-0.1052945927,0.08648958802,-0.442261517,sien,4c,1,0,easy
126,15,1970-01-01 00:00:25.565487210,0.1438359502,0.324040997,0.1347496694,25.56548721,-0.2606516778,0.3736338615,-0.3461366594,sien,4c,1,0,easy
127,15,1970-01-01 00:00:25.766784210,-0.3442252931,0.406152277,-0.7411839929,25.76678421,-0.408118248,0.3520559967,-0.1265307516,sien,4c,1,0,easy
128,15,1970-01-01 00:00:25.968082210,-0.4737513524,0.01980568886,-0.606390177,25.96808221,-0.6636526585,0.5248709321,0.02730715647,sien,4c,1,0,easy
129,15,1970-01-01 00:00:26.169378620,-0.8612282073,-0.4462483889,-0.155645864,26.16937862,-0.6061477065,0.3417309225,0.04204320908,sien,4c,1,0,easy
130,15,1970-01-01 00:00:26.370675620,-0.1996774444,-0.7615729415,0.08456243277,26.37067562,-0.4368301928,-0.04663731903,0.2357884645,sien,4c,1,0,easy
131,15,1970-01-01 00:00:26.571973620,-0.354315687,-0.6393836761,-0.2562389867,26.57197362,-0.2428995073,0.07855563611,0.2751940191,sien,4c,1,0,easy
132,15,1970-01-01 00:00:26.773270630,0.03012734011,0.2291219759,-0.4629521664,26.77327063,0.1928483546,-0.2259815484,-0.4211260676,sien,4c,1,0,easy
133,15,1970-01-01 00:00:26.974568630,-1.315750991,-0.3803461754,-0.3123839879,26.97456863,0.2244924158,-0.8824051619,-0.5539258122,sien,4c,1,0,easy
134,15,1970-01-01 00:00:27.175865460,0.03825453132,0.02784268677,0.06238979101,27.17586546,0.3021716774,-0.696013689,-0.2215220332,sien,4c,1,0,easy
135,15,1970-01-01 00:00:27.377163460,-0.1811198437,0.1941293138,0.0312616634,27.37716346,0.3052417636,-0.4223401845,0.1095936447,sien,4c,1,0,easy
136,15,1970-01-01 00:00:27.578461460,-0.1043616897,0.5261804116,-0.4175169253,27.57846146,-0.0233211983,0.3984381855,0.6451261044,sien,4c,1,0,easy
137,15,1970-01-01 00:00:27.779759460,0.2239390039,-0.8295497471,1.080825215,27.77975946,-0.08373241127,0.5122560859,0.8099451661,sien,4c,1,0,easy
138,15,1970-01-01 00:00:27.981057460,1.581705455,-0.9420419902,1.273411156,27.98105746,0.2867282331,-0.186048612,-0.087965101,sien,4c,1,0,easy
139,15,1970-01-01 00:00:28.182355330,0.4028017859,0.01734518051,0.9260211309,28.18235533,-0.3352256119,-0.07502410561,0.3350812197,sien,4c,1,0,easy
140,15,1970-01-01 00:00:28.383653330,0.3973402306,-0.05954979837,0.1483175304,28.38365333,-0.7093666792,0.04229685292,0.04469192028,sien,4c,1,0,easy
141,15,1970-01-01 00:00:28.584951330,0.03759145707,0.4319759202,-0.06204831362,28.58495133,-0.3618308306,0.6691499949,-0.03427709267,sien,4c,1,0,easy
142,15,1970-01-01 00:00:28.786249330,0.488206839,-0.2440323758,-0.1453506714,28.78624933,0.01312185172,1.320593119,0.06937583536,sien,4c,1,0,easy
143,15,1970-01-01 00:00:28.987546330,0.6264639607,0.1360132527,-0.3093276483,28.98754633,0.01919749938,0.968739748,0.6220234036,sien,4c,1,0,easy
144,15,1970-01-01 00:00:29.188843870,-0.2307935487,0.3470059365,-2.052345358,29.18884387,0.127485618,0.2801235318,0.6340485811,sien,4c,1,0,easy
145,15,1970-01-01 00:00:29.390141870,0.2286696938,0.5418556273,0.02685969673,29.39014187,0.3344414234,0.07706264406,0.1997538209,sien,4c,1,0,easy
146,15,1970-01-01 00:00:29.591439870,-0.8229938489,-0.2890407336,0.2749208772,29.59143987,0.3586747944,-0.02018046007,-0.01123498939,sien,4c,1,0,easy
147,15,1970-01-01 00:00:29.792737870,-0.1260390723,0.4502689344,0.0004256407544,29.79273787,0.1641896069,0.05483111367,0.08690010756,sien,4c,1,0,easy
148,15,1970-01-01 00:00:29.994035870,0.03800105453,0.3152304125,0.0343617475,29.99403587,0.2416012138,-0.1696821451,-0.0439292714,sien,4c,1,0,easy
149,15,1970-01-01 00:00:30.195334830,0.5554811016,0.4489872247,-0.2839212039,30.19533483,0.6333478093,-0.3181346655,-0.1061335579,sien,4c,1,0,easy
150,15,1970-01-01 00:00:30.396632830,0.6741061968,-0.1988111794,-1.704458685,30.39663283,0.5368288159,0.5753579736,-0.03981897235,sien,4c,1,0,easy
151,15,1970-01-01 00:00:30.597930830,-2.051049469,0.08076174259,3.049641928,30.59793083,-0.02412910946,0.3864041567,-0.427372843,sien,4c,1,0,easy
152,15,1970-01-01 00:00:30.799228830,-0.2151301736,1.213683164,-1.469780685,30.79922883,-0.01699850149,-0.2402637452,0.09231603891,sien,4c,1,0,easy
153,15,1970-01-01 00:00:31.000525830,-0.2021625111,-0.5263640141,0.05481998563,31.00052583,-0.0504649058,-0.1491515934,-0.04642067105,sien,4c,1,0,easy
154,15,1970-01-01 00:00:31.201823870,-0.1395664595,-0.001445431709,1.124920384,31.20182387,-0.1486159712,-0.417725265,-0.211120829,sien,4c,1,0,easy
155,15,1970-01-01 00:00:31.403121870,0.2202540521,0.2998370326,0.2488870266,31.40312187,-0.009363573976,-0.262455076,-0.1794448942,sien,4c,1,0,easy
156,15,1970-01-01 00:00:31.604419870,-0.2712043869,0.4850627911,1.119403828,31.60441987,0.1030800268,-0.1986455172,-0.1274763346,sien,4c,1,0,easy
157,15,1970-01-01 00:00:31.805716880,0.2882750407,-0.1908478564,0.3850961611,31.80571688,-0.1368672997,-0.06222326308,-0.2893762589,sien,4c,1,0,easy
158,15,1970-01-01 00:00:32.007014880,-0.6417675859,0.010281744,-0.005496382713,32.00701488,-0.2599771023,-0.3638580441,-0.2509133816,sien,4c,1,0,easy
159,15,1970-01-01 00:00:32.208312380,-1.085535001,0.5774031901,0.4391446066,32.20831238,-0.06405886263,-0.6522413492,-0.3104079366,sien,4c,1,0,easy
160,15,1970-01-01 00:00:32.409610379,-0.5347264096,-0.2906025249,0.03207548618,32.40961038,0.1233467609,-0.536331892,-0.1448759437,sien,4c,1,0,easy
161,15,1970-01-01 00:00:32.610908379,0.511027206,-0.3601229954,-0.08948330328,32.61090838,-0.114211522,-0.1075342074,-0.02129092254,sien,4c,1,0,easy
